road_id,road_name,heat_score,vegetation_deficit_score,feasibility_score,priority_score,priority_class
KED-ROAD-01015,"طريق القاهرة, الاسكندرية الزراعى",57.5,70.3,98.7,74.3,High
KED-ROAD-02834,شارع مدخل كفر الدوار,57.5,70.7,96.4,73.8,High
KED-ROAD-04323,شارع احمد عرابى,57.5,68.5,98.4,73.6,High
KED-ROAD-02838,شارع بورسعيد,57.5,70.7,95.5,73.5,High
KED-ROAD-02835,شارع مدخل كفر الدوار,57.5,69.8,96.5,73.5,High
KED-ROAD-02839,شارع بورسعيد,57.5,70.7,95.5,73.5,High
KED-ROAD-01356,شارع المستشفى الشامله,57.5,69.5,96.3,73.4,High
KED-ROAD-02245,,57.5,70.2,95.5,73.3,High
KED-ROAD-02041,شارع ابراهيم سعيد,57.5,71.5,93.5,73.2,High
KED-ROAD-02042,شارع ابراهيم سعيد,57.5,71.5,93.5,73.2,High
KED-ROAD-00731,شارع الجيش,57.5,68.8,96.5,73.2,High
KED-ROAD-02255,,57.5,70.0,94.9,73.1,High
KED-ROAD-02854,شارع المضرب,57.5,70.2,94.8,73.1,High
KED-ROAD-02853,شارع المضرب,57.5,70.2,94.8,73.1,High
KED-ROAD-01113,شارع المستشفى الشامله,57.5,69.6,95.5,73.1,High
KED-ROAD-02256,,57.5,70.0,94.9,73.1,High
KED-ROAD-02039,,57.5,71.4,93.4,73.1,High
KED-ROAD-02040,,57.5,71.4,93.4,73.1,High
KED-ROAD-00051,طريق ترعه السعرانية,57.5,69.5,95.3,73.0,High
KED-ROAD-00052,طريق ترعه السعرانية,57.5,69.5,95.3,73.0,High
KED-ROAD-01064,شارع مدخل كفر الدوار,57.5,70.1,94.5,73.0,High
KED-ROAD-02280,شارع مدخل كفر الدوار,57.5,69.3,95.3,73.0,High
KED-ROAD-04563,شارع بورسعيد,57.5,70.7,93.7,73.0,High
KED-ROAD-01018,شارع مدخل كفر الدوار,57.5,70.5,93.6,72.9,High
KED-ROAD-04596,شارع مساكن الغزل,57.5,70.8,92.8,72.8,High
KED-ROAD-04243,شارع الجوهري,57.5,70.2,93.6,72.8,High
KED-ROAD-04244,شارع الجوهري,57.5,70.2,93.6,72.8,High
KED-ROAD-02231,شارع 2,57.5,70.3,93.6,72.8,High
KED-ROAD-02232,شارع 2,57.5,70.3,93.6,72.8,High
KED-ROAD-04597,شارع مساكن الغزل,57.5,70.8,92.8,72.8,High
KED-ROAD-01054,شارع مدخل كفر الدوار,57.5,70.7,93.2,72.8,High
KED-ROAD-02869,شارع مدخل كفر الدوار,57.5,70.0,93.5,72.7,High
KED-ROAD-00256,,57.5,71.2,92.1,72.7,High
KED-ROAD-00257,,57.5,71.2,92.1,72.7,High
KED-ROAD-00253,,57.5,71.2,92.1,72.7,High
KED-ROAD-01050,,57.5,71.5,91.9,72.7,High
KED-ROAD-01020,,57.5,70.2,93.4,72.7,High
KED-ROAD-01051,,57.5,71.5,91.9,72.7,High
KED-ROAD-01019,,57.5,70.2,93.4,72.7,High
KED-ROAD-00150,,57.5,70.4,92.7,72.6,High
KED-ROAD-02729,شارع بورسعيد,57.5,71.1,91.8,72.6,High
KED-ROAD-00993,شارع القاهر,57.5,69.5,93.5,72.5,High
KED-ROAD-01042,,57.5,69.1,94.0,72.5,High
KED-ROAD-01362,شارع المستشفى الشامله,57.5,68.8,94.3,72.5,High
KED-ROAD-00994,شارع القاهر,57.5,69.5,93.5,72.5,High
KED-ROAD-01041,,57.5,69.1,94.0,72.5,High
KED-ROAD-02240,,57.5,70.7,92.2,72.5,High
KED-ROAD-02239,,57.5,70.7,92.2,72.5,High
KED-ROAD-04294,شارع حمودة,57.5,67.0,96.1,72.4,High
KED-ROAD-04552,شارع مساكن الغزل,57.5,67.9,95.0,72.4,High
KED-ROAD-04573,شارع مساكن الغزل,57.5,67.9,95.0,72.4,High
KED-ROAD-04293,شارع حمودة,57.5,67.0,96.1,72.4,High
KED-ROAD-01014,"طريق القاهرة, الاسكندرية الزراعى",57.5,71.4,90.9,72.4,High
KED-ROAD-00365,حارة الرفاعى,57.5,72.5,89.7,72.4,High
KED-ROAD-00364,حارة الرفاعى,57.5,72.5,89.7,72.4,High
KED-ROAD-01562,شارع بورسعيد,57.5,70.8,91.5,72.4,High
KED-ROAD-00026,شارع مجدي حسنين,57.5,71.3,91.0,72.4,High
KED-ROAD-00025,شارع مجدي حسنين,57.5,71.3,91.0,72.4,High
KED-ROAD-01561,شارع بورسعيد,57.5,70.8,91.5,72.4,High
KED-ROAD-01074,,57.5,69.9,92.5,72.3,High
KED-ROAD-02743,شارع احمد عرابى,57.5,69.3,92.9,72.3,High
KED-ROAD-02742,شارع احمد عرابى,57.5,69.3,92.9,72.3,High
KED-ROAD-00036,شارع سعيد بركات,57.5,69.0,93.3,72.3,High
KED-ROAD-03815,الطريق الدولي,57.5,69.0,93.6,72.3,High
KED-ROAD-01073,,57.5,69.9,92.5,72.3,High
KED-ROAD-01009,,57.5,71.3,90.8,72.3,High
KED-ROAD-01010,,57.5,71.3,90.8,72.3,High
KED-ROAD-00035,شارع سعيد بركات,57.5,69.0,93.3,72.3,High
KED-ROAD-06430,,57.5,71.2,91.0,72.3,High
KED-ROAD-06429,,57.5,71.2,91.0,72.3,High
KED-ROAD-06328,شارع الترعه,57.5,67.0,95.5,72.2,High
KED-ROAD-01025,,57.5,71.0,90.9,72.2,High
KED-ROAD-01005,شارع 3,57.5,68.3,93.9,72.2,High
KED-ROAD-01006,شارع 3,57.5,68.3,93.9,72.2,High
KED-ROAD-02868,شارع مدخل كفر الدوار,57.5,70.7,91.0,72.2,High
KED-ROAD-02229,شارع 1,57.5,68.8,93.3,72.2,High
KED-ROAD-06329,شارع الترعه,57.5,67.0,95.5,72.2,High
KED-ROAD-02230,شارع 1,57.5,68.8,93.3,72.2,High
KED-ROAD-00149,,57.5,67.2,94.9,72.1,High
KED-ROAD-00115,شارع 4,57.5,68.5,93.1,72.0,High
KED-ROAD-04285,شارع مسجد التقوى,57.5,70.6,90.7,72.0,High
KED-ROAD-04595,,57.5,70.1,91.0,72.0,High
KED-ROAD-04286,شارع مسجد التقوى,57.5,70.6,90.7,72.0,High
KED-ROAD-04594,,57.5,70.1,91.0,72.0,High
KED-ROAD-04569,,57.5,69.6,91.7,72.0,High
KED-ROAD-00738,شارع الجيش,57.5,69.9,91.3,72.0,High
KED-ROAD-04568,,57.5,69.6,91.7,72.0,High
KED-ROAD-05016,,57.5,69.3,92.1,72.0,High
KED-ROAD-02630,شارع الجلاء,57.5,69.3,92.2,72.0,High
KED-ROAD-02651,شارع الجلاء,57.5,69.3,92.2,72.0,High
KED-ROAD-05015,,57.5,69.3,92.1,72.0,High
KED-ROAD-00116,شارع 4,57.5,68.5,93.1,72.0,High
KED-ROAD-05023,الطريق الدولي,57.5,70.3,91.0,72.0,High
KED-ROAD-00254,,57.5,70.6,90.4,72.0,High
KED-ROAD-00259,شارع الجيش,57.5,70.1,91.1,72.0,High
KED-ROAD-04708,شارع اللواء محمود ابراهيم الكومى,57.5,67.8,93.8,72.0,High
KED-ROAD-04709,شارع اللواء محمود ابراهيم الكومى,57.5,67.8,93.8,72.0,High
KED-ROAD-02257,,57.5,70.9,90.3,72.0,High
KED-ROAD-02258,,57.5,70.9,90.3,72.0,High
KED-ROAD-02271,,57.5,70.8,89.8,71.9,High
KED-ROAD-02156,شارع نجم,57.5,70.8,90.1,71.9,High
KED-ROAD-02155,شارع نجم,57.5,70.8,90.1,71.9,High
KED-ROAD-03392,شارع بورسعيد,57.5,70.6,90.3,71.9,High
KED-ROAD-00113,شارع محمد عامر,57.5,69.6,91.4,71.9,High
KED-ROAD-00114,شارع محمد عامر,57.5,69.6,91.4,71.9,High
KED-ROAD-06193,,57.5,64.0,98.0,71.9,High
KED-ROAD-06421,,57.5,71.5,89.3,71.9,High
KED-ROAD-06194,,57.5,64.0,98.0,71.9,High
KED-ROAD-02272,,57.5,70.8,89.8,71.9,High
KED-ROAD-03391,شارع بورسعيد,57.5,70.6,90.3,71.9,High
KED-ROAD-06420,,57.5,71.5,89.3,71.9,High
KED-ROAD-02101,شارع صلاح ابو جبل,57.5,68.3,92.5,71.8,High
KED-ROAD-01103,"طريق القاهرة, الاسكندرية الزراعى",57.5,69.8,90.9,71.8,High
KED-ROAD-01028,,57.5,70.8,89.7,71.8,High
KED-ROAD-01029,,57.5,70.8,89.7,71.8,High
KED-ROAD-02215,شارع 7,57.5,69.8,90.7,71.8,High
KED-ROAD-02017,شارع عبد الغنى رياض,57.5,70.4,90.3,71.8,High
KED-ROAD-02205,"طريق كفر الدوار, ابو المطامير",57.5,69.1,91.8,71.8,High
KED-ROAD-02102,شارع صلاح ابو جبل,57.5,68.3,92.5,71.8,High
KED-ROAD-02206,"طريق كفر الدوار, ابو المطامير",57.5,69.1,91.8,71.8,High
KED-ROAD-02216,شارع 7,57.5,69.8,90.7,71.8,High
KED-ROAD-02018,شارع عبد الغنى رياض,57.5,70.4,90.3,71.8,High
KED-ROAD-00812,شارع عمر مكرم,57.5,71.1,89.0,71.7,High
KED-ROAD-02851,شارع بكر الدكراوي,57.5,67.3,93.4,71.7,High
KED-ROAD-06452,شارع محمد انور السادات,57.5,71.9,88.0,71.7,High
KED-ROAD-02852,شارع بكر الدكراوي,57.5,67.3,93.4,71.7,High
KED-ROAD-04609,,57.5,67.7,92.9,71.7,High
KED-ROAD-04608,,57.5,67.7,92.9,71.7,High
KED-ROAD-00811,شارع عمر مكرم,57.5,71.1,89.0,71.7,High
KED-ROAD-00155,,57.5,68.7,91.7,71.7,High
KED-ROAD-01116,شارع المستشفى الشامله,57.5,68.6,91.9,71.7,High
KED-ROAD-06451,شارع محمد انور السادات,57.5,71.9,88.0,71.7,High
KED-ROAD-02530,شارع على بن ابى طالب,57.5,71.6,87.9,71.6,High
KED-ROAD-02870,شارع احمد عرابى,57.5,70.0,90.0,71.6,High
KED-ROAD-01387,شارع بكر الدكراوي,57.5,64.9,96.0,71.6,High
KED-ROAD-01386,شارع بكر الدكراوي,57.5,64.9,96.0,71.6,High
KED-ROAD-02881,شارع احمد عرابى,57.5,70.0,90.0,71.6,High
KED-ROAD-02529,شارع على بن ابى طالب,57.5,71.6,87.9,71.6,High
KED-ROAD-00092,,57.5,70.8,88.8,71.5,High
KED-ROAD-06423,,57.5,67.6,92.2,71.5,High
KED-ROAD-06422,,57.5,67.6,92.2,71.5,High
KED-ROAD-02109,"طريق كفر الدوار, ابو المطامير",57.5,71.2,88.2,71.5,High
