road_id,road_name,road_type,proposed_trees,species_english,species_arabic,selection_reason,estimated_cost_egp,total_length_m,eligible_length_m,excluded_length_m
KED-ROAD-02236,شارع دشودي,residential,126,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,63000.0,897.15,885.16,11.99
KED-ROAD-02235,شارع دشودي,residential,126,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,63000.0,897.15,885.16,11.99
KED-ROAD-01015,"طريق القاهرة, الاسكندرية الزراعى",trunk,111,Neem,نيم,نوع طريق رئيسي/متوسط (trunk) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,55500.0,900.79,888.79,11.99
KED-ROAD-04323,شارع احمد عرابى,secondary,92,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,46000.0,754.24,742.25,11.99
KED-ROAD-01011,شارع الوزان,residential,79,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,39500.0,568.84,556.84,11.99
KED-ROAD-01012,شارع الوزان,residential,79,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,39500.0,568.84,556.84,11.99
KED-ROAD-02835,شارع مدخل كفر الدوار,secondary,76,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,38000.0,630.38,608.19,22.18
KED-ROAD-02834,شارع مدخل كفر الدوار,secondary,75,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,37500.0,635.24,612.49,22.74
KED-ROAD-01212,طريق سيدى عبد القادر زلط,residential,71,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,35500.0,510.61,498.61,11.99
KED-ROAD-01211,طريق سيدى عبد القادر زلط,residential,71,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,35500.0,510.61,498.61,11.99
KED-ROAD-04660,شارع الشهيد عيسي شاهين,residential,65,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,32500.0,473.42,461.42,12.0
KED-ROAD-04659,شارع الشهيد عيسي شاهين,residential,65,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,32500.0,473.42,461.42,12.0
KED-ROAD-06191,شارع الشهيد عيسي شاهين,residential,54,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,27000.0,395.85,383.85,12.0
KED-ROAD-06192,شارع الشهيد عيسي شاهين,residential,54,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,27000.0,395.85,383.85,12.0
KED-ROAD-01356,شارع المستشفى الشامله,residential,44,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,22000.0,326.96,314.96,12.01
KED-ROAD-04294,شارع حمودة,residential,42,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,21000.0,309.38,297.39,11.99
KED-ROAD-04293,شارع حمودة,residential,42,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,21000.0,309.38,297.39,11.99
