tree_id,road_id,road_name,road_type,species_id,species_arabic,species_english,spacing_m,selection_reason,status,priority,latitude,longitude
KED-AFF-000001,KED-ROAD-00005,طريق البردلة الرئيسى,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,Medium,31.117657614041622,30.129163931079287
KED-AFF-000002,KED-ROAD-00005,طريق البردلة الرئيسى,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,Medium,31.11763957449365,30.129093645138703
KED-AFF-000003,KED-ROAD-00006,طريق البردلة الرئيسى,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,Medium,31.117642686141785,30.129105768773577
KED-AFF-000004,KED-ROAD-00006,طريق البردلة الرئيسى,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,Medium,31.117660725683404,30.129176054719256
KED-AFF-000005,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11771516664178,30.129033340219763
KED-AFF-000006,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.117772249436776,30.12906460575509
KED-AFF-000007,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.117829332226037,30.129095871325703
KED-AFF-000008,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.117886415009547,30.129127136931597
KED-AFF-000009,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11794349778731,30.129158402572788
KED-AFF-000010,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.118000580559332,30.129189668249253
KED-AFF-000011,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.118057663325608,30.12922093396101
KED-AFF-000012,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.118114746086153,30.129252199708063
KED-AFF-000013,KED-ROAD-00009,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11817182884094,30.12928346549039
KED-AFF-000014,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11815593346031,30.129274759152846
KED-AFF-000015,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.118098850703912,30.129243493380336
KED-AFF-000016,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11804176794178,30.129212227643123
KED-AFF-000017,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.117984685173898,30.129180961941184
KED-AFF-000018,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11792760240027,30.12914969627454
KED-AFF-000019,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11787051962091,30.12911843064318
KED-AFF-000020,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11781343683581,30.12908716504711
KED-AFF-000021,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11775635404495,30.12905589948632
KED-AFF-000022,KED-ROAD-00010,شارع 3,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.117699271248355,30.12902463396082
KED-AFF-000023,KED-ROAD-00011,,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11807374782748,30.129518507458542
KED-AFF-000024,KED-ROAD-00011,,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11801739441665,30.12948550252817
KED-AFF-000025,KED-ROAD-00011,,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.11796104099931,30.12945249763482
KED-AFF-000026,KED-ROAD-00011,,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.117904687575464,30.12941949277847
KED-AFF-000027,KED-ROAD-00011,,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.117848334145126,30.129386487959138
KED-AFF-000028,KED-ROAD-00011,,residential,SP-005,كازوارينا,Casuarina,7.0,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,Proposed,High,31.117791980708283,30.12935348317681
