road_id,tree_count,liters_per_day_total,liters_per_month_total,road_name
KED-ROAD-00005,2,30.0,900.0,طريق البردلة الرئيسى
KED-ROAD-00006,2,30.0,900.0,طريق البردلة الرئيسى
KED-ROAD-00009,9,135.0,4050.0,شارع 3
KED-ROAD-00010,9,135.0,4050.0,شارع 3
KED-ROAD-00011,6,90.0,2700.0,
KED-ROAD-00012,6,90.0,2700.0,
KED-ROAD-00013,1,15.0,450.0,
KED-ROAD-00014,1,15.0,450.0,
KED-ROAD-00015,9,135.0,4050.0,
KED-ROAD-00016,9,135.0,4050.0,
KED-ROAD-00017,10,150.0,4500.0,شارع الشهيد محمد العطار
KED-ROAD-00018,10,150.0,4500.0,شارع الشهيد محمد العطار
KED-ROAD-00019,2,30.0,900.0,
KED-ROAD-00020,2,30.0,900.0,
KED-ROAD-00021,7,105.0,3150.0,شارع الشهيد محمد العطار
KED-ROAD-00022,7,105.0,3150.0,شارع الشهيد محمد العطار
KED-ROAD-00025,17,255.0,7650.0,شارع مجدي حسنين
KED-ROAD-00026,17,255.0,7650.0,شارع مجدي حسنين
KED-ROAD-00027,2,30.0,900.0,
KED-ROAD-00028,2,30.0,900.0,
KED-ROAD-00033,5,75.0,2250.0,شارع 7
KED-ROAD-00034,5,75.0,2250.0,شارع 7
KED-ROAD-00035,23,345.0,10350.0,شارع سعيد بركات
KED-ROAD-00036,23,345.0,10350.0,شارع سعيد بركات
KED-ROAD-00039,2,30.0,900.0,
KED-ROAD-00040,2,30.0,900.0,
KED-ROAD-00041,4,60.0,1800.0,
KED-ROAD-00042,4,60.0,1800.0,
KED-ROAD-00047,5,75.0,2250.0,طريق ترعه السعرانية
KED-ROAD-00048,5,75.0,2250.0,طريق ترعه السعرانية
KED-ROAD-00049,5,75.0,2250.0,"طريق كفر الدوار, ابو المطامير"
KED-ROAD-00050,5,75.0,2250.0,"طريق كفر الدوار, ابو المطامير"
KED-ROAD-00051,30,450.0,13500.0,طريق ترعه السعرانية
KED-ROAD-00052,30,450.0,13500.0,طريق ترعه السعرانية
KED-ROAD-00053,6,90.0,2700.0,"طريق كفر الدوار, ابو المطامير"
KED-ROAD-00054,6,90.0,2700.0,"طريق كفر الدوار, ابو المطامير"
KED-ROAD-00057,4,60.0,1800.0,
KED-ROAD-00058,4,60.0,1800.0,
KED-ROAD-00063,5,75.0,2250.0,
KED-ROAD-00064,5,75.0,2250.0,
KED-ROAD-00065,2,30.0,900.0,
KED-ROAD-00066,2,30.0,900.0,
KED-ROAD-00067,5,75.0,2250.0,
KED-ROAD-00068,5,75.0,2250.0,
