count,encroached,area_m2,area_feddan,patch_id,mean_carbon_potential,rank,centroid_lat,centroid_lon,relative_carbon_loss_share_pct,size_class
171,1,14608.475358257245,3.4775211942062034,KED-ENCR-0171,57.921169420656994,1,31.12021267187772,30.13122638200738,1.287508656342728,"Very Large (>10,000 m²)"
40,1,3416.470281314515,0.8132845845498425,KED-ENCR-0154,44.797531307240035,2,31.14078878060985,30.12850199056806,0.23288401111412438,"Large (2,000–10,000 m²)"
31,1,2648.127887838088,0.6303820644582352,KED-ENCR-0084,52.70845491940534,3,31.128329944434217,30.12206903965376,0.2123866350651345,"Large (2,000–10,000 m²)"
25,1,2135.2585274133,0.5082944388164481,KED-ENCR-0149,80.18839059900786,4,31.14242596058515,30.128077087913088,0.2605372985889434,"Large (2,000–10,000 m²)"
24,1,2049.7191965370575,0.4879319554795261,KED-ENCR-0023,14.149713713289023,5,31.15015296893271,30.11461253984659,0.044131629674178205,"Large (2,000–10,000 m²)"
23,1,1964.4223994174695,0.4676272068656598,KED-ENCR-0139,61.908824310325556,6,31.143249285825675,30.12757887485503,0.18505267944593967,Medium (500–2000 m²)
21,1,1793.8633713653765,0.4270259380563785,KED-ENCR-0074,61.87278354447728,7,31.130001831935857,30.121493206626226,0.16888728745497308,Medium (500–2000 m²)
20,1,1708.337271242494,0.4066666042764154,KED-ENCR-0101,53.87223660483213,8,31.135711053666245,30.122815655170356,0.14003821495497726,Medium (500–2000 m²)
18,1,1537.7308069386468,0.36605404335301517,KED-ENCR-0162,37.09244444488466,9,31.120575938433326,30.12988889015437,0.08679080443158856,Medium (500–2000 m²)
18,1,1537.5790095215546,0.36601790825183467,KED-ENCR-0117,36.390589521033256,10,31.130851667133893,30.1238601961734,0.08514016281548217,Medium (500–2000 m²)
16,1,1366.6374179586085,0.32532557088923103,KED-ENCR-0097,26.82072200919492,11,31.13797143964654,30.122953772028552,0.05577399017528504,Medium (500–2000 m²)
16,1,1366.6242735592398,0.32532244188868387,KED-ENCR-0052,25.3280971393964,12,31.13959402197241,30.118669930501483,0.0526695535483792,Medium (500–2000 m²)
15,1,1281.3352595846566,0.3050195460384392,KED-ENCR-0062,46.048655338446466,13,31.129801636486846,30.12055639227924,0.08978166885582678,Medium (500–2000 m²)
10,1,854.2995362011487,0.20336446278500886,KED-ENCR-0166,8.70395394052446,14,31.12003096043974,30.130096500532854,0.011314482588128892,Medium (500–2000 m²)
10,1,854.1432538347404,0.2033272600497379,KED-ENCR-0061,30.313651710296917,15,31.13889558160545,30.12034977985203,0.039398248511073014,Medium (500–2000 m²)
10,1,854.1382999415429,0.2033260807844028,KED-ENCR-0050,26.527352891242707,16,31.13982084635155,30.11778958119534,0.03447704651176559,Medium (500–2000 m²)
10,1,854.0841484223789,0.20331319011299645,KED-ENCR-0112,36.291091219127864,17,31.1451298889087,30.123700495873063,0.047163782967964904,Medium (500–2000 m²)
